### Liquid Laundry Dataset ###
|Occasion|Household|Week|Loyalty|Price|Feature|Display|Tide|Wisk|Era|Choice
0|1|9|11|0.0|4.67|0|0|1|0|0|1
1|1|9|11|0.62|4.98|0|0|0|1|0|0
2|1|9|11|0.31|5.38|0|0|0|0|1|0
3|1|9|11|0.0|4.98|0|0|0|0|0|0
4|2|9|29|0.0|4.67|0|0|1|0|0|0
5|2|9|29|0.62|4.67|1|0|0|1|0|1
6|2|9|29|0.31|6.55|0|0|0|0|1|0
7|2|9|29|0.0|4.98|0|0|0|0|0|0
8|3|9|31|0.0|4.67|0|0|1|0|0|0
9|3|9|31|0.62|4.98|0|0|0|1|0|1
10|3|9|31|0.31|6.55|0|0|0|0|1|0
11|3|9|31|0.0|4.98|0|0|0|0|0|0
12|4|9|43|0.0|6.55|0|0|1|0|0|0
13|4|9|43|0.62|3.81|0|0|0|1|0|1
14|4|9|43|0.31|6.55|0|0|0|0|1|0
15|4|9|43|0.0|4.67|0|0|0|0|0|0
16|5|9|45|0.0|6.55|0|0|1|0|0|0
17|5|9|45|0.62|4.67|0|0|0|1|0|1
18|5|9|45|0.31|6.55|0|0|0|0|1|0
19|5|9|45|0.0|4.67|0|0|0|0|0|0
20|6|9|49|0.0|7.02|0|0|1|0|0|0
21|6|9|49|0.62|4.67|0|0|0|1|0|1
22|6|9|49|0.31|7.02|0|0|0|0|1|0
23|6|9|49|0.0|5.45|0|0|0|0|0|0
24|7|9|51|0.0|7.02|0|0|1|0|0|0
25|7|9|51|0.62|4.67|0|0|0|1|0|1
26|7|9|51|0.31|7.02|0|0|0|0|1|0
27|7|9|51|0.0|5.45|0|0|0|0|0|0
28|8|11|3|0.33|5.08|0|1|1|0|0|1
29|8|11|3|0.5|4.22|0|0|0|1|0|0
30|8|11|3|0.0|5.39|0|0|0|0|1|0
31|8|11|3|0.17|5.02|0|1|0|0|0|0
32|9|11|11|0.33|4.98|0|1|1|0|0|1
33|9|11|11|0.5|4.22|0|0|0|1|0|0
34|9|11|11|0.0|5.28|0|0|0|0|1|0
35|9|11|11|0.17|4.89|0|0|0|0|0|0
36|10|11|17|0.33|6.45|0|0|1|0|0|1
37|10|11|17|0.5|4.89|0|0|0|1|0|0
38|10|11|17|0.0|6.45|0|0|0|0|1|0
39|10|11|17|0.17|4.89|0|0|0|0|0|0
40|11|11|21|0.33|4.67|0|0|1|0|0|1
41|11|11|21|0.5|4.98|0|0|0|1|0|0
42|11|11|21|0.0|6.55|0|0|0|0|1|0
43|11|11|21|0.17|4.98|0|0|0|0|0|0
44|12|11|43|0.33|6.55|0|0|1|0|0|0
45|12|11|43|0.5|4.67|0|0|0|1|0|1
46|12|11|43|0.0|6.55|0|0|0|0|1|0
47|12|11|43|0.17|4.67|0|0|0|0|0|0
48|13|12|9|0.0|5.28|0|0|1|0|0|0
49|13|12|9|0.0|4.44|0|0|0|1|0|0
50|13|12|9|0.86|5.28|0|0|0|0|1|1
51|13|12|9|0.14|4.89|0|0|0|0|0|0
52|14|12|15|0.0|5.28|0|0|1|0|0|0
53|14|12|15|0.0|4.89|0|0|0|1|0|0
54|14|12|15|0.86|6.45|0|0|0|0|1|1
55|14|12|15|0.14|6.45|0|0|0|0|0|0
56|15|12|19|0.0|6.45|0|0|1|0|0|0
57|15|12|19|0.0|4.89|0|0|0|1|0|0
58|15|12|19|0.86|6.45|0|0|0|0|1|1
59|15|12|19|0.14|6.45|0|0|0|0|0|0
60|16|12|23|0.0|6.45|0|0|1|0|0|0
61|16|12|23|0.0|4.89|0|0|0|1|0|0
62|16|12|23|0.86|6.45|0|0|0|0|1|1
63|16|12|23|0.14|6.45|0|0|0|0|0|0
64|17|12|31|0.0|4.98|0|0|1|0|0|0
